id;name;id;insert into internal_products (odoo_id,product_id);insert into products (id,description)
__export__.product_template_24647_67cde4e5;Apple câble USB A/LIGHTNING - 2M white - MD819ZM/A;78;"('__export__.product_template_24647_67cde4e5',78);";"(78,'Apple câble USB A/LIGHTNING - 2M white - MD819ZM/A');"
__export__.product_template_24364_a71db5e6;Apple câble USB A/LIGHTNING - 2M white - MD819ZM/A ;79;"('__export__.product_template_24364_a71db5e6',79);";"(79,'Apple câble USB A/LIGHTNING - 2M white - MD819ZM/A ');"
__export__.product_template_24363_404617b1;Apple câble USB C/USB C (240W) - 2M white - MU2G3ZM/A;80;"('__export__.product_template_24363_404617b1',80);";"(80,'Apple câble USB C/USB C (240W) - 2M white - MU2G3ZM/A');"
__export__.product_template_22405_b348a59f;Apple câble USB C/USB C (60W) - 1M white - MQKJ3ZM/A;81;"('__export__.product_template_22405_b348a59f',81);";"(81,'Apple câble USB C/USB C (60W) - 1M white - MQKJ3ZM/A');"
__export__.product_template_24368_5bdc0e0e;Apple câble adaptateur USB A/LIGHTNING - MUQW3ZM/A;82;"('__export__.product_template_24368_5bdc0e0e',82);";"(82,'Apple câble adaptateur USB A/LIGHTNING - MUQW3ZM/A');"
__export__.product_template_24052_75704346;Apple iPad 10.2 9.Gen 64GB WiFi Grey;83;"('__export__.product_template_24052_75704346',83);";"(83,'Apple iPad 10.2 9.Gen 64GB WiFi Grey');"
__export__.product_template_19613_bcfcac4f;Apple iPad 10.2 9.Gen 64GB WiFi Silver;84;"('__export__.product_template_19613_bcfcac4f',84);";"(84,'Apple iPad 10.2 9.Gen 64GB WiFi Silver');"
__export__.product_template_24599_b43d3728;Apple iPad 10.9 10.Gen 256GB WiFi Blue;85;"('__export__.product_template_24599_b43d3728',85);";"(85,'Apple iPad 10.9 10.Gen 256GB WiFi Blue');"
__export__.product_template_23325_f77392e2;Apple iPad 10.9 10.Gen 64GB WiFi Blue;86;"('__export__.product_template_23325_f77392e2',86);";"(86,'Apple iPad 10.9 10.Gen 64GB WiFi Blue');"
__export__.product_template_15795_56a61907;Apple iPad 10.9 10.Gen 64GB WiFi Silver;87;"('__export__.product_template_15795_56a61907',87);";"(87,'Apple iPad 10.9 10.Gen 64GB WiFi Silver');"
__export__.product_template_24600_6c3c0000;Apple iPad 10.9 11.Gen (2025) 128GB Cellular Pink;88;"('__export__.product_template_24600_6c3c0000',88);";"(88,'Apple iPad 10.9 11.Gen (2025) 128GB Cellular Pink');"
__export__.product_template_23159_f6471e04;Apple iPad 10.9 11.Gen (2025) 128GB Cellular Silver;89;"('__export__.product_template_23159_f6471e04',89);";"(89,'Apple iPad 10.9 11.Gen (2025) 128GB Cellular Silver');"
__export__.product_template_23160_fff8b35c;Apple iPad 10.9 11.Gen (2025) 128GB WiFi Blue;90;"('__export__.product_template_23160_fff8b35c',90);";"(90,'Apple iPad 10.9 11.Gen (2025) 128GB WiFi Blue');"
__export__.product_template_22666_56bcf1e3;Apple iPad 10.9 11.Gen (2025) 128GB WiFi Silver;91;"('__export__.product_template_22666_56bcf1e3',91);";"(91,'Apple iPad 10.9 11.Gen (2025) 128GB WiFi Silver');"
__export__.product_template_23161_99f9afcf;Apple iPad 10.9 11.Gen (2025) 256GB WiFi Blue;92;"('__export__.product_template_23161_99f9afcf',92);";"(92,'Apple iPad 10.9 11.Gen (2025) 256GB WiFi Blue');"
